datetime,pred_stage_ft,pred_stage_m,risk_level
2026-06-10 00:00:00+00:00,7.677774146646261,2.3401855598977805,normal
2026-06-10 01:00:00+00:00,7.664722804576158,2.336207510834813,normal
2026-06-10 02:00:00+00:00,7.715199930593371,2.3515929388448598,normal
2026-06-10 03:00:00+00:00,7.636140039116144,2.327495483922601,normal
2026-06-10 04:00:00+00:00,7.6864973689615725,2.3428443980594875,normal
2026-06-10 05:00:00+00:00,7.705811603367328,2.3487313767063616,normal
2026-06-10 06:00:00+00:00,7.744689540192485,2.3605813718506696,normal
2026-06-10 07:00:00+00:00,7.689401245340704,2.343729499579847,normal
2026-06-10 08:00:00+00:00,7.6740797872841355,2.3390595191642047,normal
2026-06-10 09:00:00+00:00,7.8052905161678785,2.3790525493279695,normal
2026-06-10 10:00:00+00:00,7.719623372033238,2.3529412037957314,normal
2026-06-10 11:00:00+00:00,7.689096817076206,2.343636709844828,normal
2026-06-10 12:00:00+00:00,7.72890693128109,2.355770832654476,normal
2026-06-10 13:00:00+00:00,7.732910871431232,2.3569912336122396,normal
2026-06-10 14:00:00+00:00,7.7059313995391125,2.3487678905795217,normal
2026-06-10 15:00:00+00:00,7.721303094699978,2.3534531832645533,normal
2026-06-10 16:00:00+00:00,7.753492626622319,2.363264552594483,normal
2026-06-10 17:00:00+00:00,7.826329128444194,2.3854651183497904,normal
2026-06-10 18:00:00+00:00,7.79236025840044,2.375111406760454,normal
2026-06-10 19:00:00+00:00,7.771982886642217,2.3689003838485476,normal
2026-06-10 20:00:00+00:00,7.754951649531722,2.363709262777269,normal
2026-06-10 21:00:00+00:00,7.816270973160862,2.382399392619431,normal
2026-06-10 22:00:00+00:00,7.745910258889198,2.360953446909428,normal
2026-06-10 23:00:00+00:00,7.799739101454615,2.3773604781233666,normal
