target_file,source_name,source_agency,service_or_download,method,where
population_svi_la_county_part1.geojson / part2.geojson / combined,Social Vulnerability Index LA County FeatureServer,CDC/ATSDR GRASP + Los Angeles County eGIS,https://services.arcgis.com/RmCCgQtiZLDCtblq/ArcGIS/rest/services/Social_Vulnerability_Index_LA_County/FeatureServer/1,ArcGIS REST query; f=geojson; pagination by resultOffset,1=1
emergency_fire_ems_stations_la.geojson,LACoFD Fire Station Locations,Los Angeles County Fire Department / LA County GIS,https://services.arcgis.com/RmCCgQtiZLDCtblq/arcgis/rest/services/LACoFD_Fire_Station_Locations/FeatureServer/0,ArcGIS REST query; f=geojson,1=1
emergency_hospitals_la.geojson,LA County Points of Interest - Hospitals and Medical Centers,Los Angeles County / ArcGIS Online,https://services.arcgis.com/V6ZHFr6zdgNZuVG0/arcgis/rest/services/LA_County_Points_of_Interest/FeatureServer/0,ArcGIS REST query; f=geojson,cat2='Hospitals and Medical Centers'
landslide_cgs_statewide_20260309.zip,California Landslide Inventory,California Geological Survey,https://www.conservation.ca.gov/cgs/documents/publications/landslide-inventory/cgs_lsi_20260309.zip,Direct ZIP download; statewide dataset. Use QGIS or geopandas to filter Los Angeles County.,
