edge_id,from,to,road_name,traffic_road_name,traffic_status,traffic_status_label,traffic_speed_kmh,original_congestion,mapped_congestion,traffic_captured_at
OSM03373,O11107372743,O8703494839,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03374,O8703494839,O2025986911,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03375,O2025986911,O1837712875,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03376,O1837712875,O2025986925,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03377,O2025986925,O2199155511,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03378,O2199155511,O6778541879,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03379,O6778541879,O2293360240,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03380,O2293360240,O1837712877,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03381,O1837712877,O6778556891,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03382,O6778556891,O11991397555,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03383,O11991397555,O11991397556,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03384,O11991397556,O6778556911,将台路,将台路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03512,O264825746,O9915888502,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03513,O9915888502,O9915888499,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03514,O9915888499,O9915888503,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03515,O9915888503,O9915888497,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03516,O9915888497,O9915888504,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03517,O9915888504,O9915888498,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03518,O9915888498,O9915888505,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03519,O9915888505,O264825748,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03520,O264825748,O9915888506,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03521,O9915888506,O9915888496,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03522,O9915888496,O9915888507,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03523,O9915888507,O9915888494,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03524,O9915888494,O9915888508,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03525,O9915888508,O9915888495,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03526,O9915888495,O9915888509,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03527,O9915888509,O264825749,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03567,O385099608,O1190930385,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03568,O1190930385,O1190930405,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03569,O1190930405,O9749200720,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03570,O9749200720,O1190930431,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03571,O385099680,O31331902,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03572,O31331902,O8068937117,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03573,O8068937117,O1190930363,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03574,O1190930363,O1502633987,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03575,O1502633987,O31331901,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03576,O385100091,O1190930488,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03577,O385100105,O264828007,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM03708,O342836138,O1379661240,地安门西大街,地安门西大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03709,O1379661240,O342741267,地安门西大街,地安门西大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03710,O342741267,O269491207,地安门西大街,地安门西大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03711,O269491207,O5588941344,地安门西大街,地安门西大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03712,O5588941344,O3060618575,地安门西大街,地安门西大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03713,O3060618575,O9333243781,地安门西大街,地安门西大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03714,O9333243781,O3060618550,地安门西大街,地安门西大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03715,O3060618550,O269491725,地安门西大街,地安门西大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03825,O332618906,O9349946527,地安门东大街,地安门东大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03826,O9349946527,O12876507968,地安门东大街,地安门东大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03827,O12876507968,O266111775,地安门东大街,地安门东大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03828,O266111775,O12876996047,地安门东大街,地安门东大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03829,O12876996047,O266111640,地安门东大街,地安门东大街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM03859,O1658109518,O7095728469,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03860,O7095728469,O10790380551,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03861,O10790380551,O10790380552,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03862,O10790380552,O1859937417,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03863,O1859937417,O1658147461,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03864,O1658147461,O8110856130,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03865,O8110856130,O1859937418,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03866,O1859937418,O1859937419,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03867,O1859937419,O1859937420,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03868,O1859937420,O1859937422,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03869,O1859937422,O1859937423,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
