record_id,captured_at,query_location,query_radius_m,query_level,area_description,evaluation_status,evaluation_description,evaluation_expedite,evaluation_congested,evaluation_blocked,evaluation_unknown,road_name,status,status_label,direction,angle,speed_kmh,lcodes,polyline
TR0011,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,石佛营路,1,expedite,从朝阳北路到姚家园路,89,30,"13,14","116.501953,39.9229927;116.501991,39.9231033;116.501976,39.9238129;116.501953,39.9243317;116.501953,39.9244194;116.501945,39.9246407;116.501938,39.9255829;116.501984,39.9258499;116.501984,39.9264297;116.501991,39.9273109;116.501961,39.9281998;116.502007,39.9330788;116.501991,39.9331741;116.501991,39.9339676;116.502007,39.9340515;116.502007,39.9360428"
TR0012,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,石佛营路,1,expedite,从姚家园路到朝阳北路,269,30,-13,"116.501938,39.9360275;116.501938,39.9340477;116.501953,39.9339676;116.501953,39.9331741;116.501938,39.9330902;116.501892,39.9281883;116.5019,39.9272881;116.501884,39.9258537;116.5019,39.9254532;116.5019,39.9246407;116.501869,39.9244232;116.501869,39.9243279;116.501846,39.9230995;116.501884,39.9229927"
TR0013,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园路,1,expedite,从朝阳公园桥到石佛营路,13,30,"8985,5890","116.48951,39.9336548;116.490196,39.9336662;116.491234,39.9336624;116.491768,39.9336662;116.492126,39.9336815;116.492531,39.9337082;116.493095,39.9337654;116.493454,39.9338188;116.493774,39.9338684;116.494675,39.9340248;116.495354,39.9341736;116.496086,39.9343834;116.499214,39.9352493;116.502007,39.9360428"
TR0014,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园路,1,expedite,从青年路到朝阳体育中心西路,9,50,9409,"116.517342,39.9403496;116.517555,39.9404106;116.518509,39.9406853;116.519073,39.9408417;116.519913,39.9410591;116.520638,39.9411964;116.521439,39.9413185;116.522331,39.9413948;116.522652,39.9414215;116.523155,39.9414444;116.523659,39.941452;116.523964,39.941452;116.525833,39.941452;116.525894,39.941452"
TR0015,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园路,1,expedite,从东坝中路到青年路,182,45,"-6207,-6299,-9409,-6298","116.546181,39.9414825;116.543968,39.9414902;116.543182,39.9414825;116.541656,39.941494;116.540405,39.9415245;116.540039,39.9415169;116.538757,39.9415054;116.537674,39.9415016;116.536072,39.9415359;116.535446,39.9415359;116.534439,39.9415283;116.533806,39.9415169;116.532303,39.9415207;116.531784,39.9415436;116.530602,39.9415359;116.529922,39.9415436;116.528473,39.941555;116.525887,39.941555;116.52581,39.941555;116.523552,39.9415627;116.522446,39.9415169;116.521652,39.9414368;116.521439,39.9414139;116.520638,39.9412918;116.519913,39.9411545;116.519539,39.9410706;116.517548,39.9405251;116.517174,39.9404259"
TR0016,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园路,1,expedite,从石佛营路到朝阳公园桥,193,50,-8985,"116.501884,39.936142;116.500488,39.9357529;116.498337,39.9351349;116.496101,39.9345207;116.494614,39.934124;116.493744,39.9339638;116.493019,39.9338608;116.492477,39.933815;116.492073,39.9337807;116.491653,39.933773;116.490189,39.9337616;116.48951,39.9337769"
TR0017,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,星火西路,1,expedite,从姚家园路到东风南路,93,40,"10,11,2242","116.502007,39.9360428;116.502029,39.9361763;116.501671,39.9401894;116.501671,39.9406929;116.501709,39.9410591;116.501831,39.9416122;116.501984,39.9423904;116.502014,39.9425926;116.502029,39.9428062;116.501976,39.9431725;116.501755,39.9440498;116.501244,39.9463081;116.501122,39.9469337;116.50106,39.9472351;116.501015,39.9474983;116.500938,39.9481239;116.500824,39.9493599;116.500519,39.9528847;116.500427,39.9536629"
TR0018,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,星火西路,1,expedite,从东风南路到姚家园路,274,35,"-11,-10","116.500282,39.9537201;116.500381,39.952877;116.500694,39.9493408;116.500801,39.9481125;116.500877,39.9474907;116.500923,39.9472237;116.500977,39.9469185;116.501114,39.9462891;116.501816,39.9431343;116.501839,39.9429855;116.501862,39.9428062;116.501846,39.9426041;116.501823,39.9424057;116.501778,39.9421501;116.501602,39.9414635;116.501579,39.9413567;116.501564,39.9411469;116.501526,39.9406967;116.501526,39.9404831;116.501526,39.9401855;116.501884,39.936142;116.501938,39.9360275"
TR0019,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,青年北路,1,expedite,从青年北路北口到姚家园路,270,30,"-8573,-9408,-8572,-8571","116.51709,39.9533157;116.517105,39.9521866;116.51712,39.9509544;116.51712,39.9501877;116.517113,39.9498215;116.517128,39.9498215;116.517029,39.9496193;116.517082,39.9473877;116.517082,39.9473381;116.517075,39.9460678;116.517082,39.945015;116.517105,39.9445114;116.517128,39.9438629;116.517143,39.94207;116.517174,39.9404259"
TR0020,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园北一路,1,expedite,从星火东路到朝阳体育中心西路,358,35,"9406,9407","116.511986,39.9475784;116.514091,39.9474678;116.517082,39.9473381;116.517227,39.9473305;116.519272,39.9472351;116.519661,39.9472351;116.519859,39.9472427;116.520836,39.9472694;116.521561,39.9472961;116.523209,39.947403;116.523857,39.9474144;116.52507,39.9473953;116.525162,39.9473953;116.525208,39.9473991"
