edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
OSM00031,O9378344192,O32451488,0.0151,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960584,39.9380598;116.3960674,39.9379245",osm,osm_secondary,4928048,30
OSM00032,O32451488,O9378344190,0.0292,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960674,39.9379245;116.3960791,39.9376622",osm,osm_secondary,4928048,31
OSM00033,O9378344190,O269491787,0.0218,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960791,39.9376622;116.3960873,39.9374663",osm,osm_secondary,4928048,32
OSM00034,O269491787,O269487636,0.08,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960873,39.9374663;116.3961282,39.9367475",osm,osm_secondary,4928048,33
OSM00035,O269487636,O269491782,0.0198,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3961282,39.9367475;116.3961298,39.9365696",osm,osm_secondary,4928048,34
OSM00036,O32451488,O1976195314,0.1122,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3960674,39.9379245;116.3973701,39.9380658",osm,osm_service,4931009,35
OSM00037,O1976195314,O32451728,0.0243,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3973701,39.9380658;116.3976532,39.9380912",osm,osm_service,4931009,36
OSM00038,O32451728,O734045386,0.0394,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3976532,39.9380912;116.3981146,39.9381168",osm,osm_service,4931009,37
OSM00039,O734045386,O5096607848,0.0658,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3981146,39.9381168;116.3988855,39.9381429",osm,osm_service,4931009,38
OSM00040,O5096607848,O734045315,0.0317,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3988855,39.9381429;116.3992566,39.9381555",osm,osm_service,4931009,39
OSM00041,O734045315,O733967534,0.0079,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3992566,39.9381555;116.3993495,39.9381552",osm,osm_service,4931009,40
OSM00042,O733967534,O32449308,0.0488,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3993495,39.9381552;116.3999213,39.9381666",osm,osm_service,4931009,41
OSM00043,O32449306,O5096636603,0.0371,normal,0.05,true,service,OSM service way 4931055,"116.3999575,39.9383732;116.3999824,39.9387067",osm,osm_service,4931055,42
OSM00044,O5096636603,O5096636604,0.0208,normal,0.05,true,service,OSM service way 4931055,"116.3999824,39.9387067;116.3999910,39.9388935",osm,osm_service,4931055,43
OSM00045,O5096636604,O341216077,0.0166,normal,0.05,true,service,OSM service way 4931055,"116.3999910,39.9388935;116.3999696,39.9390415",osm,osm_service,4931055,44
OSM00046,O341216077,O1484589871,0.0541,normal,0.05,true,service,OSM service way 4931055,"116.3999696,39.9390415;116.3999204,39.9395270",osm,osm_service,4931055,45
OSM00047,O1484589871,O32449307,0.0623,normal,0.05,true,service,OSM service way 4931055,"116.3999204,39.9395270;116.3998840,39.9400865",osm,osm_service,4931055,46
OSM00048,O1976959632,O1976959621,0.0138,normal,0.05,true,秦老胡同,OSM service way 4931136,"116.4071277,39.9370886;116.4072888,39.9371029",osm,osm_service,4931136,47
OSM00049,O1976959621,O32450490,0.1177,normal,0.05,true,秦老胡同,OSM service way 4931136,"116.4072888,39.9371029;116.4086677,39.9371482",osm,osm_service,4931136,48
OSM00050,O269487636,O1990853181,0.0194,normal,0.05,true,帽儿胡同,OSM service way 4931137,"116.3961282,39.9367475;116.3963512,39.9367121",osm,osm_service,4931137,49
OSM00051,O1990853181,O5096623605,0.0216,normal,0.05,true,帽儿胡同,OSM service way 4931137,"116.3963512,39.9367121;116.3965962,39.9366643",osm,osm_service,4931137,50
OSM00052,O32449308,O733992799,0.0527,normal,0.05,true,沙井胡同,OSM service way 4931224,"116.3999213,39.9381666;116.4004536,39.9379252",osm,osm_service,4931224,51
OSM00053,O733992799,O32449310,0.0267,normal,0.05,true,沙井胡同,OSM service way 4931224,"116.4004536,39.9379252;116.4004487,39.9376853",osm,osm_service,4931224,52
OSM00054,O32449310,O32451111,0.2307,normal,0.05,true,沙井胡同,OSM service way 4931224,"116.4004487,39.9376853;116.4031548,39.9377042",osm,osm_service,4931224,53
OSM00055,O32451345,O32451339,0.4681,normal,0.05,true,后圆恩寺胡同,OSM service way 4931240,"116.4086210,39.9384965;116.4031314,39.9384335",osm,osm_service,4931240,54
OSM00056,O32388366,O13463405424,0.008,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3951265,39.9406341;116.3951550,39.9407029",osm,osm_service,4947938,55
OSM00057,O13463405424,O8805760701,0.0116,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3951550,39.9407029;116.3951963,39.9408022",osm,osm_service,4947938,56
OSM00058,O8805760701,O13466830120,0.0059,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3951963,39.9408022;116.3952470,39.9408386",osm,osm_service,4947938,57
OSM00059,O13466830120,O32388368,0.0591,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3952470,39.9408386;116.3957533,39.9412019",osm,osm_service,4947938,58
OSM00060,O32388368,O13467878945,0.0512,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3957533,39.9412019;116.3957340,39.9416618",osm,osm_service,4947938,59
OSM00061,O13467878945,O1976297706,0.0352,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3957340,39.9416618;116.3957209,39.9419781",osm,osm_service,4947938,60
OSM00062,O1976297706,O1976297709,0.0465,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3957209,39.9419781;116.3953437,39.9422807",osm,osm_service,4947938,61
OSM00063,O1976297709,O341218750,0.0206,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3953437,39.9422807;116.3952691,39.9424567",osm,osm_service,4947938,62
OSM00064,O341218750,O342720216,0.0114,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3952691,39.9424567;116.3952844,39.9425588",osm,osm_service,4947938,63
OSM00065,O342720216,O341222172,0.0275,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3952844,39.9425588;116.3955060,39.9427384",osm,osm_service,4947938,64
OSM00066,O341222172,O341222173,0.0247,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3955060,39.9427384;116.3956738,39.9429200",osm,osm_service,4947938,65
OSM00067,O341222173,O5619251485,0.0962,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3956738,39.9429200;116.3956503,39.9437847",osm,osm_service,4947938,66
OSM00068,O5619251485,O341222176,0.0072,normal,0.05,true,钟楼湾胡同,OSM service way 4947938,"116.3956503,39.9437847;116.3956211,39.9438459",osm,osm_service,4947938,67
OSM00069,O1802366835,O748725234,0.0112,normal,0.05,true,亮马桥中街,OSM residential way 4964849,"116.4706897,39.9543965;116.4707289,39.9543002",osm,osm_residential,4964849,68
OSM00070,O748725234,O10753743771,0.1342,normal,0.05,true,亮马桥中街,OSM residential way 4964849,"116.4707289,39.9543002;116.4710698,39.9531222",osm,osm_residential,4964849,69
OSM00071,O10753743771,O1918810087,0.0573,normal,0.05,true,亮马桥中街,OSM residential way 4964849,"116.4710698,39.9531222;116.4712153,39.9526195",osm,osm_residential,4964849,70
